"Fact","Fact Note","New York city, New York","Value Note for New York city, New York","Bronx County (Bronx Borough), New York","Value Note for Bronx County (Bronx Borough), New York","Kings County (Brooklyn Borough), New York","Value Note for Kings County (Brooklyn Borough), New York","New York County (Manhattan Borough), New York","Value Note for New York County (Manhattan Borough), New York","Queens County (Queens Borough), New York","Value Note for Queens County (Queens Borough), New York","Richmond County (Staten Island Borough), New York","Value Note for Richmond County (Staten Island Borough), New York"
"Population estimates, July 1, 2019,  (V2019)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates, July 1, 2018,  (V2018)","","8,398,748","","1,432,132","","2,582,830","","1,628,701","","2,278,906","","476,179",""
"Population estimates base, April 1, 2010,  (V2019)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates base, April 1, 2010,  (V2018)","","8,174,988","","1,384,603","","2,504,717","","1,586,360","","2,230,578","","468,730",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","","2.7%","","3.4%","","3.1%","","2.7%","","2.2%","","1.6%",""
"Population, Census, April 1, 2010","","8,175,133","","1,385,108","","2,504,700","","1,585,873","","2,230,722","","468,730",""
"Persons under 5 years, percent","","6.5%","","7.2%","","7.2%","","4.7%","","6.2%","","5.8%",""
"Persons under 18 years, percent","","20.9%","","24.8%","","22.8%","","14.3%","","20.1%","","21.8%",""
"Persons 65 years and over, percent","","14.1%","","12.8%","","13.9%","","16.5%","","15.7%","","16.2%",""
"Female persons, percent","","52.3%","","52.9%","","52.6%","","52.7%","","51.5%","","51.5%",""
"White alone, percent","","42.7%","","44.9%","","49.5%","","64.5%","","47.9%","","75.2%",""
"Black or African American alone, percent","(a)","24.3%","","43.6%","","34.1%","","17.9%","","20.7%","","11.7%",""
"American Indian and Alaska Native alone, percent","(a)","0.4%","","2.9%","","0.9%","","1.2%","","1.3%","","0.6%",""
"Asian alone, percent","(a)","13.9%","","4.5%","","12.7%","","12.8%","","26.8%","","10.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.4%","","0.1%","","0.2%","","0.2%","","0.1%",""
"Two or More Races, percent","","3.5%","","3.7%","","2.7%","","3.4%","","3.0%","","2.1%",""
"Hispanic or Latino, percent","(b)","29.1%","","56.4%","","19.1%","","25.9%","","28.1%","","18.7%",""
"White alone, not Hispanic or Latino, percent","","32.1%","","9.1%","","36.4%","","47.0%","","25.0%","","60.3%",""
"Veterans, 2014-2018","","156,514","","26,186","","38,322","","32,519","","43,330","","16,157",""
"Foreign born persons, percent, 2014-2018","","37.0%","","35.4%","","36.5%","","29.0%","","47.3%","","23.0%",""
"Housing units,  July 1, 2018,  (V2018)","","X","","532,487","","1,053,767","","886,249","","865,878","","181,199",""
"Owner-occupied housing unit rate, 2014-2018","","32.7%","","19.6%","","30.0%","","24.1%","","44.6%","","69.7%",""
"Median value of owner-occupied housing units, 2014-2018","","$570,500","","$382,900","","$665,300","","$944,600","","$504,900","","$478,600",""
